product_id,created_at,title,price,old_price,description,avg_vote_rate,num_votes,labels,related_products,sizes.in_stock,sizes.out_of_stock,features.product_type,features.producer,features.collections,features.age,features.ground_type,features.type_of_class,features.upper,features.type_of_binding,features.boots_with_sock,features.collection,features.color,features.plays_in_these_boots,features.manufacturers_data,features.team,category_name,category_id,features.ball_size,features.connecting_type,features.weigh,features.league
119,2025-04-10T21:36:41.167902+02:00,Cleats Nike Tiempo Legend 10 Elite Sg-Pro Anti Clog - Pink,208.99,259.99,"Even legends undergo constant changes. The latest version of these Elite boots is made from a completely new, technologically advanced Flytouch Plus leather. It is softer than natural leather, so it adapts to the foot and, together with the All Conditions Control elements (grippy texture even on rainy days), will help you set the pace of the game. The Legend 10 boots are lighter and slimmer than any other Tiempo model, making them suitable for playing any position - whether you pass the ball through the defensive line with watchmaker precision or fend off a quick attack from the opposing team. The Anti-Clog Traction solution applied to the sole plate protects against mud sticking.Better feelDo you see those microscopic dots on the upper? They support the ball contact area for passing, shooting and dribbling, giving the boots a slimmer look. Another advantage is the lack of additional lining. All these elements make the boots provide the control over the ball you need on the field. The foam pads from the Tiempo 9 have been reduced so that the foot can be even closer to the ball. Instead, special lines are embossed on the boots. The All Conditions Control (ACC) technology adds texture for increased grip, so you can move confidently in any weather conditions.Natural fitThe technologically advanced Flytouch Plus leather is unbelievably soft. It helps the boots fit perfectly to the foot, providing comfort without excessive stretching of the material. The Flyknit material around the ankle gives a feeling of secure fit.Grip on the fieldThe sole plate connects the conical studs on the heel, providing optimal grip and stability when braking and changing direction in any conditions.",,,[],"[191628, 191627, 191626, 184490, 161486, 161476]","['39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46']",[],Football Boots,Nike,Nike Tiempo,Men,Soft Ground (Sg/Sg-Pro),Professional,Leather,Shoelace,No,Nike Mad Energy Pack,Pink,,"Global Distributor Of Nike, Inc. 5701 West Slaughter Lane, Bldg A130 Austin Tx 78749, Us Tel.1-888-588-8834, Info@Athleteps.Com",,boots,1,,,,
133,2025-04-10T21:36:41.167902+02:00,Cleats Puma Future 8 Ultimate Mxsg - Black,202.99,237.99,"Unleash your creativity on the field with these groundbreaking shoes. This model is equipped with FUZIONFIT³ technology, providing a good, adaptive fit, GripControl Pro technology for increased ball control, and a FLEXGILITY outsole for agility. In these shoes, you can dominate the field, playing with confidence and flair.",,,[],"[202301, 200532]","['39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '46']",['45'],Football Boots,Puma,Puma Future,Men,Soft Ground (Sg/Sg-Pro),Professional,Synthetic,Shoelace,Yes,Puma Eclipse 2025,Black,Neymar Jr,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
134,2025-04-10T21:36:41.167902+02:00,Cleats Puma Future 8 Ultimate Ag - Multicolor,234.99,,,,,[],"[202302, 201792]","['40', '40.5', '41', '42', '42.5', '44', '44.5', '45', '46']","['39', '43']",Football Boots,Puma,Puma Future,Men,Artificial Grass (Ag/Tf),Professional,Synthetic,Shoelace,Yes,Puma Unlimited,Multicolor,Neymar Jr,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
135,2025-04-10T21:36:41.167902+02:00,Cleats Puma Future 8 Ultimate Low Fg - Multicolor,176.99,234.99,"Shoes that fit perfectly, designed for players who make a difference on the field. Hey players! Unleash your creativity in FUTURE 8 ULTIMATE shoes. With a fitted LYCRA® upper, PWRTAPE for ultimate stability, and a FLEXGILITY outsole allowing agile movement in all directions, these shoes are made for players ready to dominate. Laced or laceless - your choice. No matter what you choose, create without limits.",,,[],"[202304, 201508]","['38', '38.5', '39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",[],Football Boots,Puma,Puma Future,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,Yes,Puma Unlimited,Multicolor,Neymar Jr,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
120,2025-04-10T21:36:41.167902+02:00,Cleats Nike Tiempo Legend 10 Elite Fg - Pink,200.99,249.99,"Even legends evolve. The latest version of these Elite boots is made from a completely new, technologically advanced Flytouch Plus leather. It's softer than natural leather, so it moulds to your foot and, combined with All Conditions Control elements (grippy texture even in wet days) it will help you set the pace of the game. The Legend 10 boots are lighter and sleeker than any other Tiempo model, so they're suitable for any position – whether you're passing the ball through the defence with watchmaker precision or fending off a quick attack from the opposing team.Better touchSee those microscopic dots on the upper? They help the ball-to-boot contact area for passing, shooting and dribbling. That's why the boots have a sleeker look. Another plus is the lack of extra padding. All these elements make the boots provide the control over the ball you need on the pitch. The foam pads from the Tiempo 9 have been reduced so your foot can be even closer to the ball. Instead, special lines have been embossed on the boots. The All Conditions Control (ACC) technology adds texture for increased grip, so you can move confidently in any weather conditions.Natural fitThe technologically advanced Flytouch Plus leather is unbelievably soft. It helps the boots fit your foot perfectly, providing comfort without overstretching the material. The Flyknit material around the ankle gives a secure fit feeling.Grip on the pitchThe plate connects the conical studs on the heel, providing optimal grip and stability when braking and changing direction in any conditions.",5.0,1.0,[],"[196676, 195140, 194468, 191625, 191624, 191623]","['39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46']",[],Football Boots,Nike,Nike Tiempo,Men,Firm Ground (Fg),Professional,Leather,Shoelace,No,Nike Mad Energy Pack,Pink,,"Global Distributor Of Nike, Inc. 5701 West Slaughter Lane, Bldg A130 Austin Tx 78749, Us Tel.1-888-588-8834, Info@Athleteps.Com",,boots,1,,,,
121,2025-04-10T21:36:41.167902+02:00,Cleats Nike Tiempo Legend 10 Elite Ag-Pro - Pink,200.99,249.99,"Football boots on artificial turfEven legends are subject to constant change. Now, for the first time in history, the Tiempo model is made of advanced leather technology providing better ball feel and perfect fit. It is lighter, sleeker and more modern than any other version and has been designed for every position on the pitch. It will allow you to pass the ball through the defensive line with watchmaker precision as well as repel the opponent's quick attack.Soft to the touchThe new advanced leather upper is incredibly soft, allowing the boots to mould to the foot, providing a natural ball feel without stretching the material after long hours of play.Sleekness and lightnessThe foam cushions of the Tiempo 9 have been reduced so that the foot can be even closer to the ball. Instead, special lines are embossed on the boots. Microscopic dots support the ball contact area for passes, shots and dribbling. This gives the boots a more sleek look. The lack of additional lining does not affect the ball control you need on the pitch.Stop and startThe plate combines different shapes of studs in the heel area: flat ones that increase stability and conical ones that provide better grip when braking.Speed and freedomThe Flyknit material around the ankle is comfortable and flexible.The All Conditions Control (ACC) finish ensures reliable ball feel in both dry and wet weather.The plastic plates with profiled studs are designed for artificial surfaces that mimic the look and feel of playing on grass.",,,[],"[193268, 191630, 191629]","['39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5', '46']",[],Football Boots,Nike,Nike Tiempo,Men,Artificial Grass (Ag/Tf),Professional,Leather,Shoelace,No,Nike Mad Energy Pack,Pink,,"Global Distributor Of Nike, Inc. 5701 West Slaughter Lane, Bldg A130 Austin Tx 78749, Us Tel.1-888-588-8834, Info@Athleteps.Com",,boots,1,,,,
122,2025-04-10T21:36:41.167902+02:00,Nike Lunargato Ii Ic - Gray,89.99,,"The Nike Lunar Gato II is perfect for small-sided play. The soft leather in the forefoot is smooth and comfortable, allowing for even more precise strikes. The Lunarlon cushioning is responsive and dynamic, while the rubber outsole provides traction for quick cuts on indoor surfaces.Lunarlon foam provides soft, responsive cushioning.Premium soft leather provides enhanced ball feel.Mesh inserts provide breathability and dynamic foot lockdown.Nike Grind rubber in the forefoot increases durability.Rubber outsole provides multi-directional traction on indoor surfaces.",5.0,1.0,['Last Chance'],"[193244, 193243, 193242]",['46'],"['39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '45.5']",Football Boots,Nike,,Men,Indoor (Ic/In),Professional,Leather,Shoelace,No,Nike Small Sided,Gray,,"Global Distributor Of Nike, Inc. 5701 West Slaughter Lane, Bldg A130 Austin Tx 78749, Us Tel.1-888-588-8834, Info@Athleteps.Com",,boots,1,,,,
123,2025-04-10T21:36:41.167902+02:00,Cleats Puma Future 8 Ultimate Forever Fg,204.99,239.99,"Unleash your creativity with the latest PUMA shoes. This model features a high-density mesh for ball control, a FLEXGILITY outsole for agility, and PWRTAPE reinforcement for maximum stability. You can play in them with or without laces - both versions will allow you to dominate the field, enjoying unparalleled freedom and fluidity of movement.",,,['New'],[],"['38', '38.5', '39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",[],Football Boots,Puma,Puma Future,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,Yes,Puma Forever Pack,"White, Blue",Neymar Jr,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
124,2025-04-10T21:36:41.167902+02:00,Cleats Puma Future 8 Ultimate Forever Ag,204.99,239.99,"Unleash your creativity on the field with PUMA. Experience unmatched ball control with GripControl Pro, agile movements with FLEXGILITY, and perfect fit with PWRTAPE. Play with or without laces and stay cool with the Ortholite® O-Therm™ insole. Get in the game!",,,['New'],[],"['40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",['39'],Football Boots,Puma,Puma Future,Men,Artificial Grass (Ag/Tf),Professional,Synthetic,Shoelace,Yes,Puma Forever Pack,"White, Blue",Neymar Jr,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
125,2025-04-10T21:36:41.167902+02:00,Cleats Puma Ultra 5 Ultimate Forever Fg - White,204.99,239.99,"The Forever Pack collection draws inspiration from PUMA's sporting heritage to create new, limited editions of the latest FUTURE, ULTRA, and KING models. In the new ULTRA shoes, you will feel the speed and unmatched performance. This precisely designed model is equipped with a completely new SPEEDSYSTEM outsole and FastTrax studs, based on 23 years of engineering knowledge from PUMA Motorsport, so you will find yourself under the goal incredibly quickly. I don't think anything else needs to be added. It will be a game at full throttle.",2.0,1.0,['New'],[],"['38.5', '39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",[],Football Boots,Puma,Puma Ultra,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,No,Puma Forever Pack,White,,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
126,2025-04-10T21:36:41.167902+02:00,Cleats Puma King Ultimate Forever Fg/Ag - Gray,198.99,232.99,"Discover the heritage of PUMA. This model features K-BETTER™ upper, GRIPCONTROL 3D texture and NanoGrip technology. The result? Unmatched ball control and stability. The lightweight construction and Ortholite® lining provide a perfect fit. The Forever collection means one thing - power on the field.",,,['New'],[],"['39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",[],Football Boots,Puma,Puma King,Men,"Firm Ground (Fg), Artificial Grass (Ag/Tf)",Professional,Synthetic,Shoelace,No,Puma Forever Pack,Gray,,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
127,2025-04-10T21:36:41.167902+02:00,Cleats Puma Future 8 Ultimate Creativity Fg - Red,202.99,237.99,,5.0,1.0,[],"[202300, 201619, 201506, 200529]","['38', '38.5', '39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",[],Football Boots,Puma,Puma Future,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,Yes,Puma Creativity,Red,Neymar Jr,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
128,2025-04-10T21:36:41.167902+02:00,Cleats Puma Future 8 Ultimate Creativity Ag - Red,202.99,237.99,,,,[],"[202302, 200594]","['39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '46']",['45'],Football Boots,Puma,Puma Future,Men,Artificial Grass (Ag/Tf),Professional,Synthetic,Shoelace,Yes,Puma Creativity,Red,Neymar Jr,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
129,2025-04-10T21:36:41.167902+02:00,Cleats Puma Future 8 Ultimate Fg - Black,202.99,237.99,"Hey players! Unleash your football creativity on hard pitches with FUTURE 8 ULTIMATE shoes. This game-changing model is equipped with a high-density mesh for ball control and a FLEXGILITY outsole for agility. It can be worn with or without laces, giving your all on the field. The best style and functionality from PUMA are waiting for you.",,,[],"[202300, 201789, 201619, 200529]","['39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",[],Football Boots,Puma,Puma Future,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,Yes,Puma Eclipse 2025,Black,Neymar Jr,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
130,2025-04-10T21:36:41.167902+02:00,Cleats Puma Future 8 Ultimate Low Fg - Black,202.99,237.99,"Shoes that fit perfectly, designed for players who make a difference on the field. Hey players! Unleash your creativity in FUTURE 8 ULTIMATE shoes. With a fitted LYCRA® upper, PWRTAPE for ultimate stability, and a FLEXGILITY outsole allowing agile movement in all directions, these shoes are made for players ready to dominate. Laced or laceless - your choice. No matter what you choose, create without limits.",,,[],"[202304, 200533]","['39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",[],Football Boots,Puma,Puma Future,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,Yes,Puma Eclipse 2025,Black,Neymar Jr,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
136,2025-04-10T21:36:41.167902+02:00,Cleats Puma Future 8 Ultimate Mxsg - Multicolor,176.99,234.99,"Unleash your creativity on the field with these groundbreaking shoes. This model is equipped with FUZIONFIT³ technology, providing a good, adaptive fit, GripControl Pro technology for increased ball control, and a FLEXGILITY outsole for agility. In these shoes, you can dominate the field, playing with confidence and flair.",,,[],"[202301, 201620]","['38', '38.5', '39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",['46.5'],Football Boots,Puma,Puma Future,Men,Soft Ground (Sg/Sg-Pro),Professional,Synthetic,Shoelace,Yes,Puma Unlimited,Multicolor,Neymar Jr,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
137,2025-04-10T21:36:41.167902+02:00,Cleats Puma Future 8 Ultimate Fg - Multicolor,152.99,234.99,"Hey players! Unleash your football creativity on hard pitches with FUTURE 8 ULTIMATE shoes. This game-changing model is equipped with a high-density mesh for ball control and a FLEXGILITY outsole for agility. It can be worn with or without laces, giving your all on the field. The best style and functionality from PUMA are waiting for you.",5.0,2.0,[],"[202300, 201789, 201619, 201506]","['38', '38.5', '39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",['46.5'],Football Boots,Puma,Puma Future,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,Yes,Puma Unlimited,Multicolor,Neymar Jr,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
138,2025-04-10T21:36:41.167902+02:00,Cleats Puma Ultra 5 Carbon Fg - White,256.99,300.99,"Lace up, which means tie your shoelaces. In ULTRA 5 CARBON shoes, you will feel what speed and unparalleled performance are. Based on PUMA Motorsport engineering observations, the new SPEEDSYSTEM CARBON outsole is made of carbon fiber, making it 32% more flexible than the non-carbon version. We also used the FastTrax PUMA stud construction, so you will find yourself under the goal incredibly quickly.",,,[],[187996],"['39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45']",['46'],Football Boots,Puma,Puma Ultra,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,No,Puma Unlimited,White,,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
139,2025-04-10T21:36:41.167902+02:00,Cleats Puma Ultra 5 Ultimate Ag - White,202.99,237.99,,,,[],[202306],"['39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",[],Football Boots,Puma,Puma Ultra,Men,"Firm Ground (Fg), Artificial Grass (Ag/Tf)",Professional,Synthetic,Shoelace,No,Puma Unlimited,White,,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
140,2025-04-10T21:36:41.167902+02:00,Cleats Puma Ultra 5 Ultimate Fg - White,176.99,234.99,"How fast are ULTRA 5 ULTIMATE shoes? Fasten the straps, tie the laces and unleash your speed. The latest PUMA innovation combines the SPEEDSYSTEM outsole and FastTrax studs, providing explosive acceleration. With GripControl Pro leather and PWRTAPE SQD support, you will dominate the field with unmatched agility and precision. It will be a game at full throttle.",,,[],[202305],"['38', '38.5', '39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",[],Football Boots,Puma,Puma Ultra,Men,"Firm Ground (Fg), Artificial Grass (Ag/Tf)",Professional,Synthetic,Shoelace,No,Puma Unlimited,White,,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
141,2025-04-10T21:36:41.167902+02:00,Cleats Puma Ultra 5 Ultimate Mxsg - White,152.99,234.99,"Lace up, which means tie your shoelaces. In the new ULTRA shoes, you will feel what speed and unparalleled performance are. The completely new SPEEDSYSTEM outsole, based on 23 years of engineering observations from PUMA Motorsport, has been precisely designed to take you from start to finish in the blink of an eye. The FastTrax studs are connected to conical studs screwed in to provide optimal traction on mixed, soft surfaces.",,,[],[202308],"['39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",[],Football Boots,Puma,Puma Ultra,Men,Soft Ground (Sg/Sg-Pro),Professional,Synthetic,Shoelace,No,Puma Unlimited,White,,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
142,2025-04-10T21:36:41.167902+02:00,Cleats Puma King Ultimate Mxsg - Red,171.99,227.99,"The rightful heir is here: long live KING. Equipped with K-BETTER™ upper, GRIPCONTROL 3D structure, and NanoGrip technology, these shoes offer unparalleled ball control and stability. Lightweight and elegant, they are designed for those who rule on the field. Let everyone know: a new KING has arrived in town.",,,[],[202310],"['40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",['39'],Football Boots,Puma,Puma King,Men,Soft Ground (Sg/Sg-Pro),Professional,Synthetic,Shoelace,No,Puma Unlimited,Red,,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
143,2025-04-10T21:36:41.167902+02:00,Cleats Puma King Ultimate Fg/Ag - Red,148.99,227.99,"Welcome the worthy successor. These shoes feature K-BETTER™ upper for unparalleled feel, GRIPCONTROL 3D for better ball control, and a lightweight outsole for maximum agility. NanoGrip technology and ORTHOLITE® lining provide perfect fit and comfort. Let everyone know: a new KING has arrived in the city.",,,[],[202309],"['39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",[],Football Boots,Puma,Puma King,Men,"Firm Ground (Fg), Artificial Grass (Ag/Tf)",Professional,Synthetic,Shoelace,No,Puma Unlimited,Red,,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
144,2025-04-10T21:36:41.167902+02:00,Cleats New Balance 442 V2 Elite Fg - Black,164.99,204.99,"Made with quality in mind. The updated model 442 combines modern craftsmanship with timeless design. The microfiber upper with embossed quilting provides a classic look while offering a new dimension of lightness, comfort, and performance. The fusion of classic and modern is also evident in the outsole, where a traditional configuration of conical studs is applied on an elite, ultralight nylon plate.",,,['New'],"[201949, 200598, 200503]","['41.5', '42', '42.5', '43', '44', '44.5', '45', '45.5']",[],Football Boots,New Balance,New Balance 442,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,No,New Balance 10 Year Pack,Black,,"New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, Ma 02135-2088, Us",,boots,1,,,,
145,2025-04-10T21:36:41.167902+02:00,Cleats New Balance 442 V2 Elite Fg - White,164.99,204.99,"Made with quality in mind. The updated model 442 combines modern craftsmanship with timeless design. The microfiber upper with embossed quilting provides a classic look while offering a new dimension of lightness, comfort, and performance. The fusion of classic and modern is also evident in the outsole, where a traditional configuration of conical studs is applied on an elite, ultralight nylon plate.",5.0,1.0,['New'],"[201948, 200598, 200503]","['41.5', '42', '42.5', '43', '44', '44.5', '45', '45.5']",[],Football Boots,New Balance,New Balance 442,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,No,New Balance 10 Year Pack,White,,"New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, Ma 02135-2088, Us",,boots,1,,,,
146,2025-04-10T21:36:41.167902+02:00,Cleats New Balance Tekela V4+ Pro Low Fg,197.99,246.99,,,,[],"[203483, 195674, 195593, 187821]","['40', '40.5', '41.5', '42', '42.5', '43', '44', '44.5', '45', '45.5']",[],Football Boots,New Balance,New Balance Tekela,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,No,New Balance The Flash Point Pack,"Black, Orange",,"New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, Ma 02135-2088, Us",,boots,1,,,,
147,2025-04-10T21:36:41.167902+02:00,Cleats New Balance Tekela V4 Magia Low Sg,127.99,157.99,,4.0,1.0,[],[],"['40.5', '41.5', '42', '42.5', '43', '44', '44.5', '45']",[],Football Boots,New Balance,New Balance Tekela,Men,Soft Ground (Sg/Sg-Pro),Professional,Synthetic,Shoelace,No,New Balance The Flash Point Pack,"Black, Orange",,"New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, Ma 02135-2088, Us",,boots,1,,,,
148,2025-04-10T21:36:41.167902+02:00,Cleats New Balance Furon V8 Elite Sg - White,199.99,248.99,"Professional football boots from the improved FURON ELITE SG V8 series.The lightweight and stretchable yet strong and durable upper is made with HYPOKNIT technology, known for its flexibility, breathability, and perfect fit to the shape of the foot.These boots are perfect for soft and muddy grass surfaces, providing high stability and excellent grip during the game.The presented model is equipped with Speed ​​Ctrl Stud studs, designed to provide control during sudden stops and sharp turns.The Performance insole with Infinigrip lining ensures comfort and additional foot protection.",,,[],[],"['41.5', '42', '42.5', '43', '44', '44.5', '45', '45.5']",[],Football Boots,New Balance,New Balance Furon,Men,Soft Ground (Sg/Sg-Pro),Professional,Synthetic,Shoelace,No,New Balance The Flash Point Pack,White,Raheem Sterling,"New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, Ma 02135-2088, Us",,boots,1,,,,
149,2025-04-10T21:36:41.167902+02:00,Cleats New Balance Furon V8 Elite Fg - White,197.99,246.99,,,,[],[203481],"['40.5', '41.5', '42', '42.5', '43', '44', '44.5', '45', '45.5']",[],Football Boots,New Balance,New Balance Furon,Men,Firm Ground (Fg),Professional,Synthetic,,No,New Balance The Flash Point Pack,White,Raheem Sterling,"New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, Ma 02135-2088, Us",,boots,1,,,,
150,2025-04-10T21:36:41.167902+02:00,Cleats New Balance Furon V8 Pro Fg - White,157.99,,"New Balance Furon V8 Pro FG are cleats designed for maximum dynamism and control. The Hypoknit upper provides excellent ball feel, making precise plays and powerful shots easier.Asymmetrical lacing and a low collar ensure a comfortable fit, while the innovative T-shaped stud sole increases agility and control in dynamic movements. An ideal choice for players who want to stay one step ahead of their opponents.",,,[],"[203482, 200504]","['40', '40.5', '41.5', '42', '42.5', '43', '44', '44.5', '45', '45.5']",[],Football Boots,New Balance,New Balance Furon,Men,Firm Ground (Fg),Professional,Synthetic,,No,New Balance The Flash Point Pack,White,Raheem Sterling,"New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, Ma 02135-2088, Us",,boots,1,,,,
151,2025-04-10T21:36:41.167902+02:00,Cleats New Balance 442 V2 Elite Fg - White,160.99,199.99,"Made with quality in mind. The updated model 442 combines modern craftsmanship with timeless design. The microfiber upper with embossed quilting provides a classic look while offering a new dimension of lightness, comfort, and performance. The fusion of classic and modern is also evident in the outsole, where a traditional configuration of conical studs is applied on an elite, ultralight nylon plate.",,,[],"[201949, 201948, 200503]","['40.5', '41.5', '42', '42.5', '43', '44', '44.5', '45', '45.5']",[],Football Boots,New Balance,New Balance 442,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,No,New Balance The Flash Point Pack,White,,"New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, Ma 02135-2088, Us",,boots,1,,,,
152,2025-04-10T21:36:41.167902+02:00,Cleats New Balance Furon V8 Pro Fg - Lime,206.99,257.99,"New Balance Furon V8 Pro FG are cleats designed for maximum dynamism and control. The Hypoknit upper provides excellent ball feel, making precise plays and powerful shots easier.Asymmetrical lacing and a low collar ensure a comfortable fit, while the innovative T-shaped stud sole increases agility and control in dynamic movements. An ideal choice for players who want to stay one step ahead of their opponents.",,,[],"[203482, 200653]","['39.5', '40', '40.5', '41.5', '42', '42.5', '43', '44', '44.5', '45', '45.5']",[],Football Boots,New Balance,New Balance Furon,Men,Firm Ground (Fg),Professional,Synthetic,,No,New Balance First Edition,Lime,Raheem Sterling,"New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, Ma 02135-2088, Us",,boots,1,,,,
153,2025-04-10T21:36:41.167902+02:00,Cleats New Balance 442 V2 Elite Fg - Lime,168.99,210.99,"Made with quality in mind. The updated model 442 combines modern craftsmanship with timeless design. The microfiber upper with embossed quilting provides a classic look while offering a new dimension of lightness, comfort, and performance. The fusion of classic and modern is also evident in the outsole, where a traditional configuration of conical studs is applied on an elite, ultralight nylon plate.",,,[],"[201949, 201948, 200598]","['39.5', '40', '40.5', '41.5', '42', '42.5', '43', '44', '44.5', '45', '45.5']",[],Football Boots,New Balance,New Balance 442,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,No,New Balance First Edition,Lime,,"New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, Ma 02135-2088, Us",,boots,1,,,,
154,2025-04-10T21:36:41.167902+02:00,New Balance 442 V2 Pro In - Black,94.99,117.99,"Men's New Balance indoor shoes designed for use on sports halls.The lightweight upper is made of natural leather elements and durable synthetic materials.Thanks to the innovative FuelCell foam, the shoes have a very high level of cushioning.The FuelCell technology ensures maximum shock absorption without sacrificing speed.The non-slip tread of the outer sole guarantees maximum agility and grip during indoor play.",,,[],[200601],"['41.5', '42', '42.5', '43', '44', '44.5', '45']",['45.5'],Football Boots,New Balance,New Balance 442,Men,Indoor (Ic/In),Professional,Leather,Shoelace,No,,Black,,"New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, Ma 02135-2088, Us",,boots,1,,,,
155,2025-04-10T21:36:41.167902+02:00,New Balance 442 V2 Pro In - Beige,94.99,117.99,"Men's New Balance indoor shoes designed for use on sports halls.The lightweight upper is made of natural leather elements and durable synthetic materials.Thanks to the innovative FuelCell foam, the shoes have a very high level of cushioning.The FuelCell technology ensures maximum shock absorption without sacrificing speed.The non-slip tread of the outer sole guarantees maximum agility and grip during indoor play.",,,[],[200600],"['41.5', '42', '42.5', '43', '44', '44.5', '45', '45.5']",[],Football Boots,New Balance,New Balance 442,Men,Indoor (Ic/In),Professional,Leather,Shoelace,No,,Beige,,"New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, Ma 02135-2088, Us",,boots,1,,,,
156,2025-04-10T21:36:41.167902+02:00,Cleats Mizuno Alpha Ii Japan Fg - Silver,279.99,348.99,"Achieve your best speed with these shoes, carefully designed and made in Japan to increase speed through comfortable fit and lighter weight. These are the perfect shoes for players who prefer materials other than kangaroo leather, providing extra speed, lightness, and a barefoot feel. Weighing only 185 grams, these ultra-lightweight shoes stand out with the Engineered Fit Last Neo hoof, providing incredible comfort, a redesigned upper for better fit, KaRVO and MIZUNO ENERZY materials that drive movement forward, and a ZEROGLIDE α MESH mesh insole for added grip.",,,['New'],[203326],"['40', '42', '43', '44.5', '45', '46']","['39', '40.5', '41', '42.5', '44']",Football Boots,Mizuno,Mizuno Alpha,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,No,,Silver,,"Mizuno Co., Rivium Quadrant 205 2909Lc, Capelle Aan Den Ijssel, Nl, Service-Eu@Shop.Mizuno.Eu",,boots,1,,,,
